Età,Sesso,Anno,Totale
26,Femmine,2007,337644
27,Maschi,2007,356968
27,Femmine,2007,353846
28,Maschi,2007,379164
28,Femmine,2007,376888
29,Maschi,2007,395887
29,Femmine,2007,393743
3,Maschi,2007,283181
3,Femmine,2007,267627
30,Maschi,2007,419203
30,Femmine,2007,415645
31,Maschi,2007,442601
31,Femmine,2007,438260
32,Maschi,2007,462439
32,Femmine,2007,454605
33,Maschi,2007,460224
33,Femmine,2007,453181
34,Maschi,2007,463331
34,Femmine,2007,459122
35,Maschi,2007,467274
35,Femmine,2007,466619
36,Maschi,2007,464434
36,Femmine,2007,462788
37,Maschi,2007,478937
37,Femmine,2007,477430
38,Maschi,2007,474035
38,Femmine,2007,472148
39,Maschi,2007,476746
39,Femmine,2007,475018
